Survey Year,Fullstring,Category 1,Sub-category 1,Category 2,Sub-category 2,Category 3,Sub-category 3,Category 4,Sub-category 4,Category 5,Sub-category 5,Category 6,Sub-category 6,Category 7,Sub-category 7,Category 8,Sub-category 8
2015,"Eliminate everyone's need to drive/have cars. Santa Monica has too much traffic. It is completely unsafe now, and getting even worse. My wellbeing would be improved if (a) I didn't have to drive anywhere, and (b) the city would stop approving projects which cause MORE CARS to come into the city limits each day. Please help!!! And encouraging bicycling is NOT the solution -- that will only lead to more bicyclists being hurt/injured. It is not safe to ride a bike here! Even being a pedestrian is perilous. Thanks for whatever you can do to consider these facts. Note: FACTS. These are not opinions. It is very unsafe to drive, bike or walk in this city!",Transport,Improved infrastructure for cycling/pedestrians,,,,,,,,,,,,,,
2015,"I would like less traffic. The increase in traffic has greatly affected our lives since we moved here 18 years ago. It affects when we move about the city, how we move about the city, and when we use our downtown as opposed to going to other downtowns because ours is too congested. Traffic even affects when I get exercise because if the traffic is very backed up, bike riding and fast walking (my 2 major forms of exercise) seem almost unhealthy because of the air quality. The traffic has the many residents I am in contact with love our city less and it's very unfortunate. I will vote for candidates who are willing to take the issue on.",Transport,Improved infrastructure for cycling/pedestrians,,,,,,,,,,,,,,
2015,"Decrease car and air traffic substantially. Prohibit and enforce all gas and electric vehicles, as well as Segways, from the beach strand. Curb (high-rise) development. Make accessible, by foot or bike, each of the major neighborhoods: Main Street, through the Promenade, to Montana Avenue, for example. Enforce smoking bans in public spaces and multi-family residential buildings. Continue to encourage walking, cycling, and public transportation. Re-design the new bus stops. Improve Lincoln Blvd traffic flow and aesthetics. Incentivize restaurants to have a low carbon footprint and advertise it.",Transport,Congestion,,,,,,,,,,,,,,
2015,"Make walking (and biking) a lot safer in our community.  Drivers are beginning to yield more frequently to pedestrians, but there are TOO MANY instances where drivers are neither patient nor particularly courteous to pedestrians.  I know we live in Car Culture LA, but Santa Monica has become such a pedestrian- and bike-friendly city, that drivers need to adjust their driving habits.  Pedestrian heavy cities in the East Coast, such as Boston, have performed ""Operation Crosswalk"" to ticket drivers.  Perhaps we can do something similar on a more frequent basis to educate these DRIVERS.",Transport,Improved infrastructure for cycling/pedestrians,,,,,,,,,,,,,,
2015,"The horrible traffic situation in Santa Monica!!!  Traffic is choking the life out of Santa Monica and will most likely cause my family to leave the area in the next few years.  My area, Sunset Park, is inundated with cars/buses coming/going to SMC AND the seemingly thousands of daily commuters that cut through our small streets to leave SM and go to their neighborhoods.  The City and Council need to step up and fix this ever-growing problem NOW!",Transport,Congestion,,,,,,,,,,,,,,
2015,"It's forbidden to ride bicycles on the sidewalks yet I am bothered every day, as a pedestrian, by people riding their bike on the sidewalk. There should be a campaign: there are more and more bike riders in Santa Monica and it's beginning to be an issue. The code should be enforced. Pedestrians have to suffer the lack of courtesy from car drivers; they shouldn't feel unsafe on the sidewalks because of this new hazard represented by bicycles.",Transport,Improved infrastructure for cycling/pedestrians,,,,,,,,,,,,,,
2015,I would like to see the traffic decrease from Santa Monica College. Whenever they are in session out neighborhood becomes impacted with traffic. One way I think that this could improve is having more students park at SM airport and they get bused into the main campus. The only people that should be allowed to park at the college would be SM residents. This would alleviate much of the traffic that impacts our city from the college students.,Transport,Congestion,,,,,,,,,,,,,,
2015,"I wish there was more socio economic and/or racial diversity. The unbridled, miserable entitlement of people who are absurdly selfish, and do what they want - the neighbor who stomps all night and slams doors and rents her apartment out illegally as a hotel, the unhappy drivers texting and refusing to stop for pedestrians and constantly honking, etc can mar an otherwise naturally pretty town. Learn a few lessons from New York.",Transport,Improved infrastructure for cycling/pedestrians,,,,,,,,,,,,,,
2015,"I would like it if non-major roads were closed to cars so that biking is safer. Despite the many well-maintained bike lanes around the city, cars do not look for/consider cyclists. I would also like to see more police at 26th/Arizona in the AM....Cars nearly kill children walking to school (at McKinley) several times a day because they pile up in the intersection/race through the intersection and totally ignore pedestrians.",Transport,Improved infrastructure for cycling/pedestrians,,,,,,,,,,,,,,
2015,"I love being able to walk my daughter to school. It is great to see other friends and neighbors. It is one of the reasons that I chose to live in this neighborhood. Sadly, I feel that it is quite dangerous walking to school, because there are no marked crosswalks on our way to school. And the distracted drivers of Santa Monica, do not stop at unmarked crosswalks to let little kids cross. Someone is going to get hit.",Transport,Improved infrastructure for cycling/pedestrians,,,,,,,,,,,,,,
2015,"I would like for all he grand transportation plans that encourage walking, riding bikes, and taking buses to include options for those who can do none of the above.  I have a handicapped family member who cannot ride a bike or walk any distance, there is no immediate bus line in my neighborhood and with no parking options at the new metro rail stations we will be forced to continue to drive our own car everywhere.",Transport,Improve infrastructure for cars,,,,,,,,,,,,,,
2015,City to adopt Complete Street Policy and commit to VISION ZERO for roadway fatalities.   Creating more vibrant - walkable community space with development to centralized areas in downtown and by public transit where it can encourage and facilitate residents to live car light or car free. Prioritizing public transit and car/bike share over single passenger vehicles by city policy and encouragement campaigns,Transport,Improved infrastructure for cycling/pedestrians,,,,,,,,,,,,,,
2015,"Make Lincoln Blvd, south of the freeway, a true livable street that is not congested, has great walkability, is bicycle friendly and has shops and stores that meets the needs of the community.  I walk to most places and Lincoln is a very difficult and ugly stretch of roadway and I am in constant danger of being hit by a bicyclist who is on the sidewalk.  Also crossing Lincoln is extremely difficult.",Transport,Improved infrastructure for cycling/pedestrians,,,,,,,,,,,,,,
2015,"More trains! Bury Lincoln eliminating noise and actual pollution. Turn it into a speedy tunnel to the airport and put a train in it's place. Add local vegetation as well as local art,  biking and walking paths. This will eliminate businesses on Lincoln losing traffic. In fact, bikes and pedestrians tend to stop and shop more!! Save the city, bury Lincoln! Start the movement Santa Monica.",Transport,Public transport,,,,,,,,,,,,,,
2015,We need school busses! How many thousands of cars drive their children to school twice a day in SM? And the BBB route my kid would have taken to SaMoHi just got rerouted--my kid walked to Franklin and Lincoln Schools but I am not comfortable with her hanging out at a bus stop on Wilshire or Olympic Blvds. For such a progressive city it's shocking that we condone all this school traffic.,Transport,Other,,,,,,,,,,,,,,
2015,I would add more parking and make parking less expensive. Cannot go anywhere in Santa Monica because after you fight traffic to go to a place that is 3 miles away but  takes 45 minutes to get to there is either no parking or the parking is so expensive it is prohibitive to go there. I rarely go out in Santa Monica anyone.... I really am sorry I moved here & now feel trapped.,Transport,Parking,,,,,,,,,,,,,,
2015,All traffic signals should default to a 'walk' signal automatically at ALL intersections 1) drivers will slow down (too many car/pedestrian accidents in recent years 2) it will help the elderly to be able to start crossing sooner 3) when I do early am walk it seems odd to wait for 'walk' sign when there is no vehicular traffic 4) why not encourage walking???,Transport,Improved infrastructure for cycling/pedestrians,,,,,,,,,,,,,,
2015,"I would like to have a voice in controlling the horrible traffic conditions in Santa Monica, which is one of the very few negatives about living here.  I feel like I, and many other residents, hate the traffic, and want our city leaders to fix the problem, but instead the leaders continue to approve projects that make the problem worse and worse.",Transport,Congestion,,,,,,,,,,,,,,
2015,"Get people out of their cars!   Educate school children in how to use public transportation.    Change parents' attitudes about the safety and feasibility of walking/riding/busing to school.  Make busy streets more walkable, create more destinations in neighborhoods (small convenience stores? coffee shops?) that encourage people to walk.  ",Transport,Improved infrastructure for cycling/pedestrians,,,,,,,,,,,,,,
2015,"Reduce the amount of reckless and wildly fast driving on 18th St., between Wilshire and Montana Blvd, especially after 3:30 pm on weekdays, and all day on weekends. Seriously, measure the amount of speeding drivers there, install speed bumps, whatever it takes to increase safety and reduce stress in simply crossing the street. Thank you.",Transport,Address dangerous driving/speeding,,,,,,,,,,,,,,
2015,Better and safer access to downtown and the beach from Pico Neighborhood - the MANGo project needs to be implemented with a safe bike path down Olympic on the south side of I-10 alongside SM High School.  There's no safe way to ride a bike or walk due to traffice and the vagrants make it unsafe for my wife and other women and children.,Transport,Improved infrastructure for cycling/pedestrians,,,,,,,,,,,,,,
2015,The pedestrian crosswalk on the east side of Fourth St at the entrance to the I-10 freeway should be discontinued. Pedestrians should cross on the west side of the street. It is dangerous and creates a bottleneck of traffic backup on Fourth St. heading towards Pico Blvd. It is getting worse each day as more tourists are walking.,Transport,Improved infrastructure for cycling/pedestrians,,,,,,,,,,,,,,
2015,"Expand bike routes.  The city has made some good progress in this area, but there is still a long way to go.  Biking is particularly difficult around schools, where the main challenge is traffic created by parents who drive their kids to school.  The whole community would benefit if more kids walked and biked every day.",Transport,Improved infrastructure for cycling/pedestrians,,,,,,,,,,,,,,
2015,"Less traffic going through Cloverfield Blvd, especially with Grant elementary children walking in the mornings and in the afternoons during traffic hours.  Sometimes dangerous.  Less noise level from air traffic to the SM airport at night.  Sometimes gets really noisy at 11pm when tryingt to go to sleep.  Thank you.",Transport,Congestion,,,,,,,,,,,,,,
2015,"Better traffic management.  I live on 21st Street in Sunset Park.  The afternoon rush hour traffic has become horrible... too many cars, driving too fast, not stoping at stop signs...  it has become very dangerous.  Also, I would like to close the SM airport for safety reasons and to reduce air and noise pollution.",Transport,Congestion,,,,,,,,,,,,,,
2015,My building does not get street parking permits (1 block on 4th between Idaho & Montana) - so having friends over is nearly impossible because there is no parking available.  People with permits park on our street and we cannot park anywhere outside of this block because of permit restrictions.  Ridiculous.,Transport,Parking,,,,,,,,,,,,,,
2015,"Fix the roads!  For example, the off-ramp at the 4th St/5th St. exit is appalling. I've been driving that road for over 7 years now and it is in the same terrible state as it was before and I always feel sorry for my car when I have to drive there. Other parts of the City has very bad quality roads, too :(",Transport,Other,,,,,,,,,,,,,,
2015,"I would like to be able to go downtown Santa Monica without having to deal with the traffic.  We take the bus, but it is still too crowded.  People on bikes tend to ignore stop signs and lights and go where they want.  The streets are a bit dangerous for pedestrians as well as drivers and people on bikes.",Transport,Improved infrastructure for cycling/pedestrians,,,,,,,,,,,,,,
2015,"I believe that Santa Monica needs a higher density of people and a lower density of cars, both of which can be improved with increasing safe alternative transportation options such as biking, mass transit and walking.  Right now, there are too many cars, and not enough people out on sidewalks, etc, etc.",Transport,Improved infrastructure for cycling/pedestrians,,,,,,,,,,,,,,
2015,"Something needs to be done about the traffic flow of our city. We have too many new residential building being built, Our current streets can not support the additional traffic. It's way too difficult to move around. It shouldn't take me 30 min to travel from North Santa Monica to South Santa Monica.",Transport,Congestion,,,,,,,,,,,,,,
2015,"A shared bicycle service would be great. I am often reluctant to use my bicycle because I have to store it downstairs in the garage so that it is not stolen, as my last bike that was locked to my front steps was last year. If it was more easily accessible, I would bike much more to get around town.",Transport,Improved infrastructure for cycling/pedestrians,,,,,,,,,,,,,,
2015,"I would like to take better advantage of the resources Santa Monica offers.  (I need to prioritize taking advantage of these resources - currently I do not.)    Also, I would build a better, buffered bike lane system.  Please look to Stockholm for a design that I think would be more effective here.",Transport,Improved infrastructure for cycling/pedestrians,,,,,,,,,,,,,,
2015,more available public transportation. I loved it when we had the tide  the classes at emeritus have been my lifesaver and we must do our best not to have them diminished or destroyed in any way  the entertainment at the broad stage is wonderful but too expensive for me and most of my senior friends,Transport,Public transport,,,,,,,,,,,,,,
2015,"FUCKING TRAFFIC!!!! Plain and simple we need to figure out a better method of travel be it bicycles, segways, or those shoes with wheels in them, we need to make Santa Monica less congested. The people that live here all year round can not move about the city freely which causes stress.",Transport,Congestion,,,,,,,,,,,,,,
2015,The traffic in Santa Monica is the one worst thing about this city.  It's only getting worse by the day.  There's nothing charming about a city where it takes 20 minutes to get the grocery store (that's less than a mile from your home) in the late afternoon and longer to get home.,Transport,Congestion,,,,,,,,,,,,,,
2015,"Widen Ocean Park Blvd. heading east from one lane to two between Main St. and Lincoln Blvd. It backs up even during the day during the week because so many turn onto Lincoln. It would improve traffic flow, which often backs up to sixth even when there isn't much traffic elsewhere.",Transport,Congestion,,,,,,,,,,,,,,
2015,"Fix the traffic! There is horrid congestion and bottlenecks that need to be corrected. I am not a traffic expert, but even I have thought of things that would work better. One excellent suggestion I made was not implemented so it appears a waste of time to try to offer any more.",Transport,Congestion,,,,,,,,,,,,,,
2015,I love the increased awareness of cyclists and bike lanes and would love to see that continue. I heard that Santa Monica would be rolling out a car share program but have yet to see it. I'm eagerly waiting! (And I would love a Trader Joe's in the WilMont area!),Transport,Improved infrastructure for cycling/pedestrians,,,,,,,,,,,,,,
2015,The excess of parking garages is creating traffic. I suggest more frequent and reliable bus services and less free parking if you want to have less traffic. Free parking does not exist- we pay for it with traffic jams.   Otherwise Santa Monica is amazing.,Transport,Congestion,,,,,,,,,,,,,,
2015,I love downtown Santa Monica but I find it so inconvenient because of traffic and congestion that I find myself shopping outside of Santa Monica. Wish that there was less traffic. And it is only worse with the one way direction of Colorado and the median.,Transport,Congestion,,,,,,,,,,,,,,
2015,"Ability of residents' concerns to be taken seriously by City Council with respect to traffic, density and commercialization of Santa Monica. To stop City Council from continuing to remake Santa Monica into the tourist town instead of a residential city.",Transport,Congestion,,,,,,,,,,,,,,
2015,I would like there to be a Santa Monica residents only parking garage near the Promenade. It would encourage me to shop in the City of Santa Monica more than I do because the traffic and parking near the Promenade currently is overwhelming.,Transport,Parking,,,,,,,,,,,,,,
2015,If 21st street south of Ocean Park had a stop sign at Oak St.  People use this residential street as a speedway to get to Walgrove and drive like maniacs.  They also take the turn onto Oak at over 30 mph which is dangerous to pedestrians.,Transport,Improved infrastructure for cycling/pedestrians,,,,,,,,,,,,,,
2015,"Change the traffic flow in my neighborhood and slow it down. It seems very unsafe to me for a residential neighborhood during peak times due to multiple schools; commuters; and multiple forms of transportation (bikes, buses, cars, etc.)",Transport,Congestion,,,,,,,,,,,,,,
2015,"do something about the traffic, and stop building when we don't have enough water for the city as it is. no place to park your car on the streets without paying $15 for the day.The city is too crowded, not as nice of a city any more.",Transport,Congestion,,,,,,,,,,,,,,
2015,Our parked cars have been struck by other cars since the  bike lanes have been installed on 11th Street. Maybe there should be no parking on the sharrow side. Also- more crosswalks on Lincoln Blvd. Between Pico and Ocean Park Blvd.,Transport,Improved infrastructure for cycling/pedestrians,,,,,,,,,,,,,,
2015,I would like to teach bikers that stop signs apply to them as well as vehicles.  I would also like to improve the traffic situation coming and going from the city.   I would also like to work out with a trainer at my local park.,Transport,Enforce traffic laws on bikes,,,,,,,,,,,,,,
2015,even more bike lanes. You're doing a great job but keep 'em coming! Especially along major streets where we would like to bike such as Lincoln & Pico instead of giving us the lame back streets with hills and lots of stop signs.,Transport,Improved infrastructure for cycling/pedestrians,,,,,,,,,,,,,,
2015,improved Public Transportation/ Better seating arrangements at bus stops/Increase area of service for Dial a Ride or Access. Less traffic and less building of condos  SM is getting entirely too overpopulated and over crowded,Transport,Public transport,,,,,,,,,,,,,,
2015,"More free parking (2 hrs instead of 90 min), main library should have free parking. Parks should have free parking around them. Street sweeping should NOT happen near schools at drop-off or pick-up times (8-9am or 1-3:30pm).",Transport,Parking,,,,,,,,,,,,,,
2015,I would be happier if they would issue parking tickets for people that take up more than one space.  We get ticketed if we are an inch into the red however the dude that takes up two spaces does not get ticketed. ;(,Transport,Parking,,,,,,,,,,,,,,
2015,"Make Ocean Park Blvd (East of Lincoln) and Lincoln itself, more walkable... and more useful. Think wider sidewalks... more community supporting properties (like cafes) instead of auto repair/sales establishments.",Transport,Improved infrastructure for cycling/pedestrians,,,,,,,,,,,,,,
2015,"less traffic. took me half hour to go 15 blocks last night and husband was waiting for me with important news.Have to tailor my activities to the traffic, staying in at certain hours when it's ridiculously bad.",Transport,Congestion,,,,,,,,,,,,,,
2015,"Traffic is the biggest issue we face now.  It's gotten way too congested downtown and it's not pleasant to go there.  Also we need more restaurants to stay open late on weekends, the city gets dead after 9 pm.",Transport,Congestion,,,,,,,,,,,,,,
2015,nget the bike riders off the sidewalks . As a walker in the community for many years   i  find that i    t     is very dangerous  now days. I have friends who have been seriously injured in bike accidents,Transport,Enforce traffic laws on bikes,,,,,,,,,,,,,,
2015,It is not what I can do it is what the City Council can do: Traffic is deplorable and Santa Monica is not the desirable beach city it used to be due to over building. In fact I am thinking of moving.,Transport,Congestion,,,,,,,,,,,,,,
2015,"Get rid of all the buses west of 4th street.  There is no need for them to be there, people can walk three blocks!    They are super loud, cause most of the traffic and shut down the right lanes.",Transport,Congestion,,,,,,,,,,,,,,
2015,"Getting traffic moving by getting rid of all the silly traffic calming, islands and circles that do not work!!  Putting 4 lanes back in use in Downtown Santa Monica between Lincoln and Ocean Ave.",Transport,Congestion,,,,,,,,,,,,,,
2015,"Control traffic which includes the food trucks, the tourist buses, and also control development which brings more traffic.....it is stressful to navigate local traffic which includes bikers....",Transport,Congestion,,,,,,,,,,,,,,
2015,"Improve traffic condition within Santa Monica, less car will work the best.  More opportunity to walk and to continue support for electric cars even for people living in apartment buildings.",Transport,Improved infrastructure for cycling/pedestrians,,,,,,,,,,,,,,
2015,I would like there to exist biking options that don't involve sharing a roadway with motorists. It's too dangerous and it causes me too much anxiety to ride my bike in Santa Monica anymore.,Transport,Improved infrastructure for cycling/pedestrians,,,,,,,,,,,,,,
2015,-LESS TRAFFIC!!!!!  -More sound/time restrictions on the SM AIrport  -Less expensive parking tickets  -Ability to plug the same parking meter several times instead of having to move you car,Transport,Congestion,,,,,,,,,,,,,,
2015,"I would like to be able to walk better (have failed back surgery) and, related,  would also like there to be more available parking near the stores, restaurants, etc. that I wish to go to.",Transport,Parking,,,,,,,,,,,,,,
2015,PLEASE put a stop sign at the corner of 20th Street and Idaho!  I see pedestrians on a daily basis looking like they are playing Frogger with cars driving too fast down 20th Street.,Transport,Improved infrastructure for cycling/pedestrians,,,,,,,,,,,,,,
2015,"Lessen the amount of traffic coming into Santa Monica so it doesn't take me 10 minutes just to get down the street or 20 minutes to get to the Northside, shouldn't take that long.",Transport,Congestion,,,,,,,,,,,,,,
2015,traffic control - around the college and around ocean park & walgrove. those two particular areas make it difficult to move east from our neighborhood at certain times of day.,Transport,Congestion,,,,,,,,,,,,,,
2015,"Less car traffic with dependable and easy access transportation....(I get bus sick, anything else)...ie. fun open air type trolleys, where you can get to know your neighbors",Transport,Public transport,,,,,,,,,,,,,,
2015,I love Santa Monica a lot!  I wish we were given more parking permits each year for guests.  I feel very safe here and I love how I can walk to absolutely everything I need!,Transport,Parking,,,,,,,,,,,,,,
2015,"Cut down on traffic congestion, perhaps by having larger companies stagger their working hours to improve the traffic flow.  This would also aid in keeping the air cleaner.",Transport,Congestion,,,,,,,,,,,,,,
2015,"Safer streets for walking -- in the past year, my kids and I have almost been struck by vehicles in crosswalks when walking to school in the morning on multiple occasions.",Transport,Improved infrastructure for cycling/pedestrians,,,,,,,,,,,,,,
2015,"I would like to spend less time in the car driving to/from Santa Monica, or driving in Santa Monica once I am here. I'm really really looking forward to the metro coming",Transport,Public transport,,,,,,,,,,,,,,
2015,Bring another Trader Joe's closer to where I live so I could walk to it.  I have to give you another - fix traffic nightmare. I can't bear to go East after 1PM ever.,Transport,Congestion,,,,,,,,,,,,,,
2015,"Fix the traffic problems so driving my husband to his day treatment program would not be so stressful or driving to the grocery stores, etc. would be easier as well.",Transport,Congestion,,,,,,,,,,,,,,
2015,More shaded parking(canopies during Summer) or underground parking. I visit CVS SM Blvd/26th St. To pickup prescriptions or other items...car gets crazy hot...Thanks,Transport,Parking,,,,,,,,,,,,,,
2015,I would like to be confident that Santa Monica has or plans to create realistic traffic solutions that will keep up with current and future development in the City.,Transport,Congestion,,,,,,,,,,,,,,
2015,Double street infrastructure to address vehicular traffic from thousands of new apartment dwellers vehicles here now and in future that were not here 10 years ago.,Transport,Congestion,,,,,,,,,,,,,,
2015,Enforce traffic rules for bikes and pedestrians. Lawlessness of cyclists and pedestrians has been increasing and is extremely hazardous to everyone on the streets.,Transport,Improved infrastructure for cycling/pedestrians,,,,,,,,,,,,,,
2015,that bike riders in santa monica respect cars and the laws of the road. have seen too many run stop signs and ignore basic safety. hopefully no one gets killed.,Transport,Enforce traffic laws on bikes,,,,,,,,,,,,,,
2015,"Create preferential parking space for motorcycles (or make them not pay parking), to reduce traffic, and remove restrictions to rent or sub-let short term.",Transport,Parking,,,,,,,,,,,,,,
2015,More streets with active streets with secure lanes for running and biking. Don't want to worry about getting hit by cars on the road while I'm exercising.,Transport,Improved infrastructure for cycling/pedestrians,,,,,,,,,,,,,,
2015,"It's too congested. Streets are narrow with too many cars. Would LOVE weekly or bi-weekly walking events on Montana Blvd., like the annual holiday event.",Transport,Congestion,,,,,,,,,,,,,,
2015,"Ride my bicycle more. I used to ride much more before I had children. However, it can be difficult to ride and feel safe riding with very young children.",Transport,Improved infrastructure for cycling/pedestrians,,,,,,,,,,,,,,
2015,more efforts to safeguard pedestrians from bicyclists on sidewalks or cars at crossings.  Why on earth are there crosswalks on Lincoln without lights?!,Transport,Improved infrastructure for cycling/pedestrians,,,,,,,,,,,,,,
2015,I think there should be more 4-way stops along Washington and Idaho between 7th and 10th. Because of foot traffic to the Roosevelt Elementary school.,Transport,Improved infrastructure for cycling/pedestrians,,,,,,,,,,,,,,
2015,"Better police presence to protect bicyclists.  Too many drivers run red lights in Santa Monica, putting bicyclists and pedestrians at increased risk.",Transport,Improved infrastructure for cycling/pedestrians,,,,,,,,,,,,,,
2015,"I would like to participate in converting traffic patterns from auto's in Santa Monica to other commuter solutions - mass transit, walking, biking.",Transport,Improved infrastructure for cycling/pedestrians,,,,,,,,,,,,,,
2015,Parking at light rail  One way streets  Better endorsement of leash laws  Less water use/ require drought tolerant landscaping  Vote out the mayor,Transport,Public transport,,,,,,,,,,,,,,
2015,Reduce congestion and traffic that makes it impossible to go from one part of town to another in a reasonable time without extreme frustration.,Transport,Congestion,,,,,,,,,,,,,,
2015,The traffic has gotten so bad. I won't go into downtown Santa Monica unless I absolutely have to anymore. I would love to see this improved.,Transport,Congestion,,,,,,,,,,,,,,
2015,Encourage the city government to provide better bus service in residential areas by providing better transfers and more convenient routes.,Transport,Public transport,,,,,,,,,,,,,,
2015,I would like to be able to safely bike to work instead of drive so I can spend more time outdoors. People should bike more than they do!,Transport,Improved infrastructure for cycling/pedestrians,,,,,,,,,,,,,,
2015,"less traffic so my son can ride his bike to school and feel safe doing it.  I love riding my bike, but its a little dangerous sometimes.",Transport,Improved infrastructure for cycling/pedestrians,,,,,,,,,,,,,,
2015,Parking.  The street signs are ridiculous for each neighborhood.  I see it as a way for the city to generate revenue by issuing tickets.,Transport,Parking,,,,,,,,,,,,,,
2015,Have stop signs or speed bumps installed on my street to reduce speeding. I (and others) have tried but have been rebuffed by the city.,Transport,Address dangerous driving/speeding,,,,,,,,,,,,,,
2015,"Traffic, too many tourists,too many brand shops and not enough classy speciality shops..3rd St. Is not classy!!  Parking is outrageous",Transport,Congestion,,,,,,,,,,,,,,
2015,"Better and more frequent public transport. More bus lines, better connections. Shorter frequency, more reliable regarding punctuality.",Transport,Public transport,,,,,,,,,,,,,,
2015,"Reduce congestion -- Santa Monica gets kind of crazy with all of the auto traffic, bikes and pedestrians + parking along every street",Transport,Congestion,,,,,,,,,,,,,,
2015,Parking is a constant problem. It makes life stressful. Parking near my home and parking to shop and run errands is always a problem.,Transport,Parking,,,,,,,,,,,,,,
2015,"Bike lane streets (Arizona, Broadway) are poorly lit, i'd light them somehow. Also people are increasingly texting and driving. wtf.",Transport,Improved infrastructure for cycling/pedestrians,,,,,,,,,,,,,,
2015,"To control the flow of traffic, noise, trash and lack of parking due to non residents. Santa Monica is getting RIDICULOUSLY crowded!",Transport,Congestion,,,,,,,,,,,,,,
2015,"Less traffic/people (eg farmers markets exist, but are nearly impossible to be enjoyable with so many people and difficulty parking)",Transport,Congestion,,,,,,,,,,,,,,
2015,More super clean and reliable public transportation... trams for instance to get around from various areas in SM to the city center,Transport,Public transport,,,,,,,,,,,,,,
2015,"Make serious changes to Ocean Park between Main and Lincoln! It's awful walking up and down, and terrible driving towards Lincoln.",Transport,Improved infrastructure for cycling/pedestrians,,,,,,,,,,,,,,
2015,Santa Monica CicLAvia day! (or days). Close off some roads a few times a year and let us all walk & bike & scooter & skateboard.,Transport,Improved infrastructure for cycling/pedestrians,,,,,,,,,,,,,,
2015,Find a pickup lacrosse league. Find green paths through the city that don't have traffic so I can run and bike with my daughter.,Transport,Improved infrastructure for cycling/pedestrians,,,,,,,,,,,,,,
2015,"Traffic is insane and zoning is ignored as they build, build, build! Good for investors...bad for residence. Enough is enough.",Transport,Congestion,,,,,,,,,,,,,,
2015,Make it easier to park in other neighborhoods without using preferential parking passes. Should have a city wide parking pass.,Transport,Parking,,,,,,,,,,,,,,
2015,Improve the quality and quantity of bike lanes throughout the city - including along major thoroughfares such as Lincoln Blvd.,Transport,Improved infrastructure for cycling/pedestrians,,,,,,,,,,,,,,
2015,"Traffic reduction.  Cars overwhelm the streets in the afternoons and evenings, making it difficult for locals to move through.",Transport,Congestion,,,,,,,,,,,,,,
2015,Traffic in and around Santa Monica is horrible. I never go to downtown SM at night or on weekends because it is too congested.,Transport,Congestion,,,,,,,,,,,,,,
2015,Better handling of beach parking. I hate to see people sent around in endless circles. Visitors will not come back if lied to,Transport,Parking,,,,,,,,,,,,,,
2015,"Successfully petition for a crosswalk near my house so people, including myself, can cross safely when getting off the bus.",Transport,Improved infrastructure for cycling/pedestrians,,,,,,,,,,,,,,
2015,I would like to see an increase in the monitoring of high trafficked streets to cut down on the number of speeding drivers.,Transport,Address dangerous driving/speeding,,,,,,,,,,,,,,
2015,More protected bike only areas and fewer bikes on main roads - especially at night when they have limited / no lights.,Transport,Improved infrastructure for cycling/pedestrians,,,,,,,,,,,,,,
2015,Traffic. Sync red lights or something. It seems that everytime I hit a light it always turns red. Lots of stop and go.,Transport,Other,,,,,,,,,,,,,,
2015,"Friendlier road relationship between bicyclists and drivers so that traffic is not increased due to ""road sharing"".",Transport,Improved infrastructure for cycling/pedestrians,,,,,,,,,,,,,,
2015,I could ride my bike more.  I would like the city council to stop the developement and address the traffic issues.,Transport,Improved infrastructure for cycling/pedestrians,,,,,,,,,,,,,,
2015,"more places to walk to from my house (cafes, shops etc). less congestion in terms of traffic. the train arriving!!",Transport,Congestion,,,,,,,,,,,,,,
2015,"Great city!! Get rid of some of the traffic- I often walk to avoid it, but not 100% safe at night to walk alone.",Transport,Congestion,,,,,,,,,,,,,,
2015,Less traffic!!!!!!!!!!! Less traffic!!! & mostly life would be better in Santa Monica if there was less traffic.,Transport,Congestion,,,,,,,,,,,,,,
2015,"Make biking and walking even safer in this city. Crossing streets can be a little dangerous, even for the wary.",Transport,Improved infrastructure for cycling/pedestrians,,,,,,,,,,,,,,
2015,Less traffic!  Less parking tickets so easier parking for residents.  Only one type of store missing - TARGET!,Transport,Congestion,,,,,,,,,,,,,,
2015,I would like to decrease traffic in Santa Monica! There are just too many cars. I would like to decrease EMF.,Transport,Congestion,,,,,,,,,,,,,,
2015,"I'd like to see more importance placed on pedestrians, bicyclists, etc. and fewer concessions to automobiles.",Transport,Improved infrastructure for cycling/pedestrians,,,,,,,,,,,,,,
2015,I like to walk when I do my errands but Lincoln Blvd is not a nice place to walk to use the businesses there.,Transport,Improved infrastructure for cycling/pedestrians,,,,,,,,,,,,,,
2015,"Anything to cut the speeders and traffic noise on San Vicente Blvd. (more traffic lights, stop signs, etc.)",Transport,Address dangerous driving/speeding,,,,,,,,,,,,,,
2015,Traffic!  The traffic on the 10 freeway is terrible. The streets around the mall and the beach are clogged.,Transport,Congestion,,,,,,,,,,,,,,
2015,"Require bicyclists to observe traffic laws (stop at stop signs & red lights, yield to pedestrians, etc.)",Transport,Enforce traffic laws on bikes,,,,,,,,,,,,,,
2015,Traffic. Traffic around downtown SM is the biggest reason why I do not shop and visit the area often.,Transport,Congestion,,,,,,,,,,,,,,
2015,parking at post office needs improving; parking for fly-away bus to airport; parking by expo stations,Transport,Parking,,,,,,,,,,,,,,
2015,I would like to have a dedicated bike lane on 20th Street between Ocean Park Blvd and Wilshire Blvd.,Transport,Improved infrastructure for cycling/pedestrians,,,,,,,,,,,,,,
